date,state,cases_new,cases_recovered,cases_active,daily_full,FIXED,FIXED2,new_exposed_over,new_exposed_under,new_exposed,E= NewCt+1 / delta,dE = NewInf-NewC,S,S/N,S/N * I,beta_new,gamma_new,v_t = V/S,,,,,,,,,,,,date,line_state_number,line_Cases_new,Line_cases_new_Asymptomatic,line_cases_new_symptomatic,line_state,line_p_symp,
2/20/2021,Johor,233,503,7457,0,,,403.8333333,250.8333333,327.3333333,2586,94.33333333,3766552,0.992713088,7402.6615,0.044218331,0.062491619,0,,,,,,,,,,,,20/02/2021,1,233,132,101,Johor,0.433476395,
2/21/2021,Johor,431,466,7422,0,,,359.6666667,279.5,319.5833333,1266,-111.4166667,3766121,0.992599494,7367.073444,0.043379958,0.083400701,0,,,,,,,,,,,,21/02/2021,1,431,315,116,Johor,0.269141531,
2/22/2021,Johor,211,619,7011,0,,,369.3333333,263.8333333,316.5833333,2568,105.5833333,3765910,0.992543883,6958.725162,0.045494444,0.154471545,0,,,,,,,,,,,,22/02/2021,1,211,127,84,Johor,0.398104265,
2/23/2021,Johor,428,1083,6356,0,,,369,280.5,324.75,1908,-103.25,3765482,0.992431079,6307.891938,0.051483127,0.081497797,0,,,,,,,,,,,,23/02/2021,1,428,290,138,Johor,0.322429907,
2/24/2021,Johor,318,518,6156,0,,,400.1666667,270.6666667,335.4166667,1542,17.41666667,3765164,0.992347267,6108.889775,0.054906322,0.130604288,0,,,,,,,,,,,,24/02/2021,1,318,214,104,Johor,0.327044025,
2/25/2021,Johor,257,804,5609,0,,,371,291.1666667,331.0833333,1656,74.08333333,3764907,0.992279532,5565.695895,0.059486422,0.128543412,0,,,,,,,,,,,,25/02/2021,1,257,161,96,Johor,0.373540856,
2/26/2021,Johor,276,721,5164,0,,,340.6666667,232.6666667,286.6666667,1884,10.66666667,3764631,0.992206789,5123.75586,0.055948541,0.158791634,0,,,,,,,,,,,,26/02/2021,1,276,184,92,Johor,0.333333333,
2/27/2021,Johor,314,820,4656,0,,,279,231.8333333,255.4166667,2040,-58.58333333,3764317,0.992124031,4619.32949,0.055293018,0.112113402,0,,,,,,,,,,,,27/02/2021,1,314,201,113,Johor,0.359872611,
2/28/2021,Johor,340,522,4474,0,,,279.3333333,189.1666667,234.25,2940,-105.75,3763977,0.992034421,4438.361999,0.05277848,0.054984354,0,,,,,,,,,,,,28/02/2021,1,340,257,83,Johor,0.244117647,
3/1/2021,Johor,490,246,4718,0,,,262.1666667,174.1666667,218.1666667,978,-271.8333333,3763487,0.991905276,4679.809094,0.046618711,0.091988131,0,,,,,,,,,,,,01/03/2021,1,490,422,68,Johor,0.13877551,
3/2/2021,Johor,163,434,4447,0,,,248,142.5,195.25,2256,32.25,3763324,0.991862316,4410.81172,0.044266229,0.088599056,0,,,,,,,,,,,,02/03/2021,1,163,110,53,Johor,0.325153374,
3/3/2021,Johor,376,394,4429,1,,,193.3333333,147.6666667,170.5,1530,-205.5,3762948,0.991763218,4392.51929,0.038815993,0.086023933,2.65749E-07,,,,,,,,,,,,03/03/2021,1,376,329,47,Johor,0.125,
3/4/2021,Johor,255,381,4303,3,,,187,143.8333333,165.4166667,2778,-89.58333333,3762693,0.99169601,4267.26793,0.038764069,0.177782942,7.97301E-07,,,,,,,,,,,,04/03/2021,1,255,187,68,Johor,0.266666667,
3/5/2021,Johor,463,765,4000,0,,,180.8333333,140.6666667,160.75,834,-302.25,3762230,0.991573981,3966.295925,0.040528998,0.058,0,,,,,,,,,,,,05/03/2021,1,463,420,43,Johor,0.09287257,
3/6/2021,Johor,139,232,3907,1,,,180.5,133.3333333,156.9166667,948,17.91666667,3762091,0.991537346,3873.936413,0.040505741,0.08369593,2.6581E-07,,,,,,,,,,,,06/03/2021,1,139,99,40,Johor,0.287769784,
3/7/2021,Johor,158,327,3738,1,,,168.1666667,107.5,137.8333333,720,-20.16666667,3761933,0.991495704,3706.210941,0.037189824,0.043338684,2.65821E-07,,,,,,,,,,,,07/03/2021,1,158,97,61,Johor,0.386075949,
3/8/2021,Johor,120,162,3694,1,,,150.8333333,94.33333333,122.5833333,990,2.583333333,3761813,0.991464077,3662.4683,0.033470142,0.106388738,2.65829E-07,,,,,,,,,,,,08/03/2021,1,120,72,48,Johor,0.4,
3/9/2021,Johor,165,393,3464,1,,,146.1666667,100,123.0833333,1638,-41.91666667,3761648,0.991420589,3434.280921,0.035839623,0.096997691,2.65841E-07,,,,,,,,,,,,09/03/2021,1,165,129,36,Johor,0.218181818,
3/10/2021,Johor,273,336,3401,2,,,146.5,106.8333333,126.6666667,1020,-146.3333333,3761375,0.991348637,3371.576716,0.037568971,0.064098794,5.3172E-07,,,,,,,,,,,,10/03/2021,1,273,214,59,Johor,0.216117216,
3/11/2021,Johor,170,218,3352,0,,,151.3333333,109.5,130.4166667,810,-39.58333333,3761205,0.991303832,3322.850445,0.039248431,0.089200477,0,,,,,,,,,,,,11/03/2021,1,170,125,45,Johor,0.264705882,
3/12/2021,Johor,135,299,3188,0,,,154.6666667,111.5,133.0833333,606,-1.916666667,3761070,0.991268252,3160.163186,0.042112804,0.102885822,0,,,,,,,,,,,,12/03/2021,1,135,98,37,Johor,0.274074074,
3/13/2021,Johor,101,328,2960,1,,,149.3333333,119.8333333,134.5833333,726,33.58333333,3760969,0.991241632,2934.075231,0.045869081,0.097635135,2.65889E-07,,,,,,,,,,,,13/03/2021,1,101,69,32,Johor,0.316831683,
3/14/2021,Johor,121,289,2792,0,,,161,106,133.5,708,12.5,3760848,0.991209741,2767.457597,0.048239221,0.186246418,0,,,,,,,,,,,,14/03/2021,1,121,84,37,Johor,0.305785124,
3/15/2021,Johor,118,520,2390,0,,,155.3333333,109.1666667,132.25,546,14.25,3760730,0.991178641,2368.916952,0.0558272,0.064853556,0,,,,,,,,,,,,15/03/2021,1,118,74,44,Johor,0.372881356,
3/16/2021,Johor,91,155,2326,1,,,153.1666667,108.8333333,131,1014,40,3760639,0.991154657,2305.425732,0.056822477,0.143594153,2.65912E-07,,,,,,,,,,,,16/03/2021,1,91,70,21,Johor,0.230769231,
3/17/2021,Johor,169,334,2161,35,,,150.3333333,108.6666667,129.5,852,-39.5,3760470,0.991110115,2141.788959,0.060463474,0.093475243,9.30735E-06,,,,,,,,,,,,17/03/2021,1,169,123,46,Johor,0.272189349,
3/18/2021,Johor,142,202,2101,43,,,142.1666667,105.1666667,123.6666667,822,-18.33333333,3760328,0.99107269,2082.243721,0.059391062,0.212279867,1.14352E-05,,,,,,,,,,,,18/03/2021,1,142,96,46,Johor,0.323943662,
3/19/2021,Johor,137,446,1792,0,,,148,104.3333333,126.1666667,780,-10.83333333,3760191,0.991036582,1775.937555,0.071042288,0.079799107,0,,,,,,,,,,,,19/03/2021,1,137,85,52,Johor,0.379562044,
3/20/2021,Johor,130,143,1779,0,,,162.1666667,106.8333333,134.5,846,4.5,3760061,0.991002319,1762.993126,0.076290712,0.066891512,0,,,,,,,,,,,,20/03/2021,1,130,83,47,Johor,0.361538462,
3/21/2021,Johor,141,119,1801,741,,,151.3333333,112.8333333,132.0833333,516,-8.916666667,3759920,0.990965157,1784.728248,0.074007532,0.099389228,0.000197079,,,,,,,,,,,,21/03/2021,1,141,98,43,Johor,0.304964539,
3/22/2021,Johor,86,179,1707,1812,,,143.1666667,107.3333333,125.25,966,39.25,3759834,0.990942491,1691.538832,0.074045004,0.15582894,0.000481936,,,,,,,,,,,,22/03/2021,1,86,46,40,Johor,0.465116279,
3/23/2021,Johor,161,266,1602,666,,,149.1666667,101.6666667,125.4166667,810,-35.58333333,3759673,0.990900058,1587.421893,0.079006512,0.056179775,0.000177143,,,,,,,,,,,,23/03/2021,1,161,118,43,Johor,0.267080745,
3/24/2021,Johor,135,90,1647,2409,,,146.3333333,115.6666667,131,774,-4,3759538,0.990864477,1631.953794,0.080271881,0.11900425,0.00064077,,,,,,,,,,,,24/03/2021,1,135,82,53,Johor,0.392592593,
3/25/2021,Johor,129,196,1580,2305,,,146.6666667,103.5,125.0833333,720,-3.916666667,3759409,0.990830478,1565.512155,0.079899305,0.100632911,0.000613128,,,,,,,,,,,,25/03/2021,1,129,86,43,Johor,0.333333333,
3/26/2021,Johor,120,159,1541,405,,,133.1666667,88.83333333,111,486,-9,3759289,0.990798851,1526.821029,0.072700073,0.072031149,0.000107733,,,,,,,,,,,,26/03/2021,1,120,68,52,Johor,0.433333333,
3/27/2021,Johor,81,111,1511,671,,,113.8333333,88.66666667,101.25,1056,20.25,3759208,0.990777503,1497.064806,0.067632343,0.126406353,0.000178495,,,,,,,,,,,,27/03/2021,1,81,41,40,Johor,0.49382716,
3/28/2021,Johor,176,191,1496,1135,,,114.1666667,83.5,98.83333333,1026,-77.16666667,3759032,0.990731116,1482.133749,0.066683141,0.066176471,0.000301939,,,,,,,,,,,,28/03/2021,1,176,130,46,Johor,0.261363636,
3/29/2021,Johor,171,99,1567,2502,,,116.8333333,72.33333333,94.58333333,576,-76.41666667,3758861,0.990686047,1552.405036,0.060926969,0.024888322,0.000665627,,,,,,,,,,,,29/03/2021,1,171,132,39,Johor,0.228070175,
3/30/2021,Johor,96,39,1622,2383,,,106.1666667,72.16666667,89.16666667,516,-6.833333333,3758765,0.990660745,1606.851729,0.055491534,0.098027127,0.000633985,,,,,,,,,,,,30/03/2021,1,96,50,46,Johor,0.479166667,
3/31/2021,Johor,86,159,1549,1470,,,106.1666667,75.16666667,90.66666667,990,4.666666667,3758679,0.990638079,1534.498385,0.059085541,0.09360878,0.000391095,,,,,,,,,,,,31/03/2021,1,86,42,44,Johor,0.511627907,
4/1/2021,Johor,165,145,1569,2211,,,105.6666667,76.5,91.08333333,618,-73.91666667,3758514,0.990594592,1554.242914,0.058603023,0.078393881,0.000588264,,,,,,,,,,,,01/04/2021,1,165,114,51,Johor,0.309090909,
4/2/2021,Johor,103,123,1549,728,,,101,80.66666667,90.83333333,498,-12.16666667,3758411,0.990567445,1534.388972,0.059198375,0.091672046,0.000193699,,,,,,,,,,,,02/04/2021,1,103,52,51,Johor,0.495145631,
4/3/2021,Johor,83,142,1489,1551,,,102,75.5,88.75,570,5.75,3758328,0.99054557,1474.922353,0.060172659,0.102081934,0.000412684,,,,,,,,,,,,03/04/2021,1,83,29,54,Johor,0.65060241,
4/4/2021,Johor,95,152,1431,1166,,,98,68.66666667,83.33333333,330,-11.66666667,3758233,0.990520531,1417.43488,0.058791649,0.057302586,0.000310252,,,,,,,,,,,,04/04/2021,1,95,58,37,Johor,0.389473684,
4/5/2021,Johor,55,82,1404,1508,,,95,64.16666667,79.58333333,588,24.58333333,3758178,0.990506036,1390.670474,0.057226593,0.158831909,0.000401258,,,,,,,,,,,,05/04/2021,1,55,30,25,Johor,0.454545455,
4/6/2021,Johor,98,223,1279,1512,,,108.5,61,84.75,612,-13.25,3758080,0.990480207,1266.824184,0.066899575,0.11336982,0.000402333,,,,,,,,,,,,06/04/2021,1,98,58,40,Johor,0.408163265,
4/7/2021,Johor,102,145,1236,1018,,,111.5,78,94.75,606,-7.25,3757978,0.990453323,1224.200308,0.077397465,0.049352751,0.00027089,,,,,,,,,,,,07/04/2021,1,102,58,44,Johor,0.431372549,
4/8/2021,Johor,101,61,1275,1153,,,114.8333333,87,100.9166667,618,-0.083333333,3757877,0.990426704,1262.794047,0.07991538,0.08,0.000306822,,,,,,,,,,,,08/04/2021,1,101,75,26,Johor,0.257425743,
4/9/2021,Johor,103,102,1276,4,,,168.1666667,93.5,130.8333333,480,27.83333333,3757774,0.990399557,1263.749835,0.103527874,0.05799373,1.06446E-06,,,,,,,,,,,,09/04/2021,1,103,53,50,Johor,0.485436893,
4/10/2021,Johor,80,74,1282,402,,,177.1666667,145.6666667,161.4166667,402,81.41666667,3757694,0.990378472,1269.665202,0.127133252,0.141965679,0.000106981,,,,,,,,,,,,10/04/2021,1,80,39,41,Johor,0.5125,
4/11/2021,Johor,67,182,1167,128,,,181.8333333,150.8333333,166.3333333,366,99.33333333,3757627,0.990360814,1155.75107,0.143917957,0.160239931,3.40641E-05,,,,,,,,,,,,11/04/2021,1,67,26,41,Johor,0.611940299,
4/12/2021,Johor,61,187,1041,532,,,196.1666667,137.5,166.8333333,444,105.8333333,3757566,0.990344737,1030.948871,0.161825031,0.053794428,0.000141581,,,,,,,,,,,,12/04/2021,1,61,26,35,Johor,0.573770492,
4/13/2021,Johor,74,56,1059,43,,,194,145.6666667,169.8333333,504,95.83333333,3757492,0.990325233,1048.754422,0.161938133,0.10292729,1.14438E-05,,,,,,,,,,,,13/04/2021,1,74,24,50,Johor,0.675675676,
4/14/2021,Johor,84,109,1033,1229,,,195.5,157.1666667,176.3333333,1092,92.33333333,3757408,0.990303094,1022.983096,0.172371698,0.139399806,0.000327087,,,,,,,,,,,,14/04/2021,1,84,48,36,Johor,0.428571429,
4/15/2021,Johor,182,144,1071,1178,,,199.8333333,114.3333333,157.0833333,726,-24.91666667,3757226,0.990255126,1060.56324,0.148113123,0.0821662,0.000313529,,,,,,,,,,,,15/04/2021,1,182,118,64,Johor,0.351648352,
4/16/2021,Johor,121,88,1104,50,,,161.8333333,116.1666667,139,600,18,3757105,0.990223235,1093.206452,0.127148902,0.070652174,1.33081E-05,,,,,,,,,,,,16/04/2021,1,121,70,51,Johor,0.421487603,
4/17/2021,Johor,100,78,1126,8,,,194.1666667,125.6666667,159.9166667,2322,59.91666667,3757005,0.990196879,1114.961686,0.143427948,0.095026643,2.12936E-06,,,,,,,,,,,,17/04/2021,1,100,60,40,Johor,0.4,
4/18/2021,Johor,387,107,1406,1276,,,213.8333333,148.8333333,181.3333333,690,-205.6666667,3756618,0.990094882,1392.073404,0.13026133,0.039118065,0.000339667,,,,,,,,,,,,18/04/2021,1,387,311,76,Johor,0.196382429,
4/19/2021,Johor,115,55,1466,1321,,,217.8333333,157.3333333,187.5833333,612,72.58333333,3756503,0.990064572,1451.434663,0.129239943,0.111186903,0.000351657,,,,,,,,,,,,19/04/2021,1,115,50,65,Johor,0.565217391,
4/20/2021,Johor,102,163,1405,796,,,224.1666667,168,196.0833333,1020,94.08333333,3756401,0.990037689,1391.002953,0.140965433,0.046975089,0.000211905,,,,,,,,,,,,20/04/2021,1,102,44,58,Johor,0.568627451,
4/21/2021,Johor,170,66,1509,1052,,,229.1666667,181.5,205.3333333,1014,35.33333333,3756231,0.989992884,1493.899262,0.137447911,0.08813784,0.000280068,,,,,,,,,,,,21/04/2021,1,170,88,82,Johor,0.482352941,
4/22/2021,Johor,169,133,1545,1721,,,259.8333333,181.6666667,220.75,780,51.75,3756062,0.989948342,1529.470189,0.144331025,0.069902913,0.000458193,,,,,,,,,,,,22/04/2021,1,169,100,69,Johor,0.408284024,
4/23/2021,Johor,130,108,1566,330,,,268.8333333,181.8333333,225.3333333,756,95.33333333,3755932,0.989914079,1550.205448,0.145357077,0.022349936,8.7861E-05,,,,,,,,,,,,23/04/2021,1,130,64,66,Johor,0.507692308,
4/24/2021,Johor,126,35,1656,118,,,251.5,180.6666667,216.0833333,954,90.08333333,3755806,0.989880871,1639.242722,0.131818998,0.086956522,3.1418E-05,,,,,,,,,,,,24/04/2021,1,126,75,51,Johor,0.404761905,
