date,state,cases_new,cases_recovered,cases_active,daily_full,FIXED,FIXED2,New_Infections,E= NewCt+1 / delta,dE = NewInf-NewC,S,S/N,S/N * I,beta=New_inf * N/IS,gamma=Rt+1/I_t,v_t = V/S,,,,,,,,,,,,date,line_state_number,line_Cases_new,Line_cases_new_Asymptomatic,line_cases_new_symptomatic,line_state,,
01/02/2021,Johor,1068,777,8300,0,,,800.4,3540,-267.6,3777308,0.995547942,8263.047915,0.096864984,0.101084337,0,,,,,,,,,,,,01/02/2021,1,1068,769,299,Johor,,
02/02/2021,Johor,708,839,8167,0,,,703.8,4820,-4.2,3776600,0.995361341,8129.116072,0.086577679,0.057303784,0,,,,,,,,,,,,02/02/2021,1,708,478,230,Johor,,
03/02/2021,Johor,964,468,8662,0,,,662,3320,-302,3775636,0.995107269,8619.619164,0.076801537,0.010967444,0,,,,,,,,,,,,03/02/2021,1,964,884,80,Johor,,
04/02/2021,Johor,664,95,9226,0,,,567.2,2990,-96.8,3774972,0.994932265,9179.245077,0.061791574,0.006936917,0,,,,,,,,,,,,04/02/2021,1,664,505,159,Johor,,
05/02/2021,Johor,598,64,9759,0,,,538.6,2925,-59.4,3774374,0.994774656,9708.005868,0.055479983,0.011169177,0,,,,,,,,,,,,05/02/2021,1,598,468,130,Johor,,
06/02/2021,Johor,585,109,10235,0,,,492.8,2495,-92.2,3773789,0.994620473,10179.94054,0.048408927,0.016511969,0,,,,,,,,,,,,06/02/2021,1,585,356,229,Johor,,
07/02/2021,Johor,499,169,10562,0,,,531.2,2450,32.2,3773290,0.994488957,10503.79236,0.050572211,0.031338762,0,,,,,,,,,,,,07/02/2021,1,499,370,129,Johor,,
08/02/2021,Johor,490,331,10718,0,,,579.8,2605,89.8,3772800,0.994359812,10657.54847,0.054402755,0.034428065,0,,,,,,,,,,,,08/02/2021,1,490,365,125,Johor,,
09/02/2021,Johor,521,369,10867,0,,,642.2,1845,121.2,3772279,0.994222497,10804.21588,0.05943976,0.006533542,0,,,,,,,,,,,,09/02/2021,1,521,405,116,Johor,,
10/02/2021,Johor,369,71,11165,0,,,636.4,3885,267.4,3771910,0.994125244,11099.40835,0.057336389,0.027586207,0,,,,,,,,,,,,10/02/2021,1,369,197,172,Johor,,
11/02/2021,Johor,777,308,11634,0,,,616.4,3710,-160.6,3771133,0.993920458,11563.2706,0.053306718,0.139676809,0,,,,,,,,,,,,11/02/2021,1,777,602,175,Johor,,
12/02/2021,Johor,742,1625,10750,0,,,551.2,4010,-190.8,3770391,0.993724896,10682.54263,0.051598203,0.118511628,0,,,,,,,,,,,,12/02/2021,1,742,587,155,Johor,,
13/02/2021,Johor,802,1274,10277,0,,,490,2460,-312,3769589,0.993513521,10210.33845,0.047990574,0.007005936,0,,,,,,,,,,,,13/02/2021,1,802,609,193,Johor,,
14/02/2021,Johor,492,72,10696,0,,,414.8,1345,-77.2,3769097,0.993383849,10625.23365,0.039039142,0.003833209,0,,,,,,,,,,,,14/02/2021,1,492,390,102,Johor,,
15/02/2021,Johor,269,41,10924,0,,,462.4,2255,193.4,3768828,0.993312951,10850.95068,0.042613778,0.009611864,0,,,,,,,,,,,,15/02/2021,1,269,178,91,Johor,,
16/02/2021,Johor,451,105,11268,0,,,455.2,2180,4.2,3768377,0.993194086,11191.31096,0.040674413,0.135072772,0,,,,,,,,,,,,16/02/2021,1,451,371,80,Johor,,
17/02/2021,Johor,436,1522,10181,0,,,451.2,2130,15.2,3767941,0.993079173,10110.53907,0.044626701,0.245162558,0,,,,,,,,,,,,17/02/2021,1,436,309,127,Johor,,
18/02/2021,Johor,426,2496,8111,0,,,406.2,3650,-19.8,3767515,0.992966897,8053.9545,0.050434852,0.137344347,0,,,,,,,,,,,,18/02/2021,1,426,283,143,Johor,,
19/02/2021,Johor,730,1114,7727,0,,,406.6,1165,-323.4,3766785,0.992774498,7671.168545,0.053003659,0.065096415,0,,,,,,,,,,,,19/02/2021,1,730,672,58,Johor,,
20/02/2021,Johor,233,503,7457,0,,,324.2,2155,91.2,3766552,0.992713088,7402.6615,0.043795059,0.062491619,0,,,,,,,,,,,,20/02/2021,1,233,132,101,Johor,,
21/02/2021,Johor,431,466,7422,0,,,329,1055,-102,3766121,0.992599494,7367.073444,0.044658168,0.083400701,0,,,,,,,,,,,,21/02/2021,1,431,315,116,Johor,,
22/02/2021,Johor,211,619,7011,0,,,298,2140,87,3765910,0.992543883,6958.725162,0.042823936,0.154471545,0,,,,,,,,,,,,22/02/2021,1,211,127,84,Johor,,
23/02/2021,Johor,428,1083,6356,0,,,318.6,1590,-109.4,3765482,0.992431079,6307.891938,0.050508158,0.081497797,0,,,,,,,,,,,,23/02/2021,1,428,290,138,Johor,,
24/02/2021,Johor,318,518,6156,0,,,301,1285,-17,3765164,0.992347267,6108.889775,0.049272456,0.130604288,0,,,,,,,,,,,,24/02/2021,1,318,214,104,Johor,,
25/02/2021,Johor,257,804,5609,0,,,335.4,1380,78.4,3764907,0.992279532,5565.695895,0.060262006,0.128543412,0,,,,,,,,,,,,25/02/2021,1,257,161,96,Johor,,
26/02/2021,Johor,276,721,5164,0,,,316.6,1570,40.6,3764631,0.992206789,5123.75586,0.06179061,0.158791634,0,,,,,,,,,,,,26/02/2021,1,276,184,92,Johor,,
27/02/2021,Johor,314,820,4656,0,,,336.6,1700,22.6,3764317,0.992124031,4619.32949,0.072867718,0.112113402,0,,,,,,,,,,,,27/02/2021,1,314,201,113,Johor,,
28/02/2021,Johor,340,522,4474,0,,,324.8,2450,-15.2,3763977,0.992034421,4438.361999,0.073180151,0.054984354,0,,,,,,,,,,,,28/02/2021,1,340,257,83,Johor,,
01/03/2021,Johor,490,246,4718,0,,,349.4,815,-140.6,3763487,0.991905276,4679.809094,0.074661165,0.091988131,0,,,,,,,,,,,,01/03/2021,1,490,422,68,Johor,,
02/03/2021,Johor,163,434,4447,0,,,279.2,1880,116.2,3763324,0.991862316,4410.81172,0.063299007,0.088599056,0,,,,,,,,,,,,02/03/2021,1,163,110,53,Johor,,
03/03/2021,Johor,376,394,4429,1,,,278.2,1275,-97.8,3762948,0.991763218,4392.51929,0.063334952,0.086023933,2.65749E-07,,,,,,,,,,,,03/03/2021,1,376,329,47,Johor,,
04/03/2021,Johor,255,381,4303,3,,,227,2315,-28,3762693,0.99169601,4267.26793,0.053195629,0.177782942,7.97301E-07,,,,,,,,,,,,04/03/2021,1,255,187,68,Johor,,
05/03/2021,Johor,463,765,4000,0,,,209,695,-254,3762230,0.991573981,3966.295925,0.052694001,0.058,0,,,,,,,,,,,,05/03/2021,1,463,420,43,Johor,,
06/03/2021,Johor,139,232,3907,1,,,171,790,32,3762091,0.991537346,3873.936413,0.044141148,0.08369593,2.6581E-07,,,,,,,,,,,,06/03/2021,1,139,99,40,Johor,,
07/03/2021,Johor,158,327,3738,1,,,177.2,600,19.2,3761933,0.991495704,3706.210941,0.047811634,0.043338684,2.65821E-07,,,,,,,,,,,,07/03/2021,1,158,97,61,Johor,,
08/03/2021,Johor,120,162,3694,1,,,172.6,825,52.6,3761813,0.991464077,3662.4683,0.047126688,0.106388738,2.65829E-07,,,,,,,,,,,,08/03/2021,1,120,72,48,Johor,,
09/03/2021,Johor,165,393,3464,1,,,168.8,1365,3.8,3761648,0.991420589,3434.280921,0.049151483,0.096997691,2.65841E-07,,,,,,,,,,,,09/03/2021,1,165,129,36,Johor,,
10/03/2021,Johor,273,336,3401,2,,,160,850,-113,3761375,0.991348637,3371.576716,0.047455542,0.064098794,5.3172E-07,,,,,,,,,,,,10/03/2021,1,273,214,59,Johor,,
11/03/2021,Johor,170,218,3352,0,,,129,675,-41,3761205,0.991303832,3322.850445,0.03882209,0.089200477,0,,,,,,,,,,,,11/03/2021,1,170,125,45,Johor,,
12/03/2021,Johor,135,299,3188,0,,,113.2,505,-21.8,3761070,0.991268252,3160.163186,0.035820935,0.102885822,0,,,,,,,,,,,,12/03/2021,1,135,98,37,Johor,,
13/03/2021,Johor,101,328,2960,1,,,120,605,19,3760969,0.991241632,2934.075231,0.040898747,0.097635135,2.65889E-07,,,,,,,,,,,,13/03/2021,1,101,69,32,Johor,,
14/03/2021,Johor,121,289,2792,0,,,128.2,590,7.2,3760848,0.991209741,2767.457597,0.046324106,0.186246418,0,,,,,,,,,,,,14/03/2021,1,121,84,37,Johor,,
15/03/2021,Johor,118,520,2390,0,,,131.4,455,13.4,3760730,0.991178641,2368.916952,0.055468386,0.064853556,0,,,,,,,,,,,,15/03/2021,1,118,74,44,Johor,,
16/03/2021,Johor,91,155,2326,1,,,133.8,845,42.8,3760639,0.991154657,2305.425732,0.058037003,0.143594153,2.65912E-07,,,,,,,,,,,,16/03/2021,1,91,70,21,Johor,,
17/03/2021,Johor,169,334,2161,35,,,143.8,710,-25.2,3760470,0.991110115,2141.788959,0.067140135,0.093475243,9.30735E-06,,,,,,,,,,,,17/03/2021,1,169,123,46,Johor,,
18/03/2021,Johor,142,202,2101,43,,,127.2,685,-14.8,3760328,0.99107269,2082.243721,0.06108795,0.212279867,1.14352E-05,,,,,,,,,,,,18/03/2021,1,142,96,46,Johor,,
19/03/2021,Johor,137,446,1792,0,,,131,650,-6,3760191,0.991036582,1775.937555,0.073763855,0.079799107,0,,,,,,,,,,,,19/03/2021,1,137,85,52,Johor,,
20/03/2021,Johor,130,143,1779,0,,,130.6,705,0.6,3760061,0.991002319,1762.993126,0.074078564,0.066891512,0,,,,,,,,,,,,20/03/2021,1,130,83,47,Johor,,
21/03/2021,Johor,141,119,1801,741,,,130.4,430,-10.6,3759920,0.990965157,1784.728248,0.073064345,0.099389228,0.000197079,,,,,,,,,,,,21/03/2021,1,141,98,43,Johor,,
22/03/2021,Johor,86,179,1707,1812,,,126.2,805,40.2,3759834,0.990942491,1691.538832,0.074606623,0.15582894,0.000481936,,,,,,,,,,,,22/03/2021,1,86,46,40,Johor,,
23/03/2021,Johor,161,266,1602,666,,,125.2,675,-35.8,3759673,0.990900058,1587.421893,0.078870022,0.056179775,0.000177143,,,,,,,,,,,,23/03/2021,1,161,118,43,Johor,,
24/03/2021,Johor,135,90,1647,2409,,,128.2,645,-6.8,3759538,0.990864477,1631.953794,0.078556146,0.11900425,0.00064077,,,,,,,,,,,,24/03/2021,1,135,82,53,Johor,,
25/03/2021,Johor,129,196,1580,2305,,,135.4,600,6.4,3759409,0.990830478,1565.512155,0.086489268,0.100632911,0.000613128,,,,,,,,,,,,25/03/2021,1,129,86,43,Johor,,
26/03/2021,Johor,120,159,1541,405,,,128.8,405,8.8,3759289,0.990798851,1526.821029,0.084358283,0.072031149,0.000107733,,,,,,,,,,,,26/03/2021,1,120,68,52,Johor,,
27/03/2021,Johor,81,111,1511,671,,,122,880,41,3759208,0.990777503,1497.064806,0.081492798,0.126406353,0.000178495,,,,,,,,,,,,27/03/2021,1,81,41,40,Johor,,
28/03/2021,Johor,176,191,1496,1135,,,138.8,855,-37.2,3759032,0.990731116,1482.133749,0.093648768,0.066176471,0.000301939,,,,,,,,,,,,28/03/2021,1,176,130,46,Johor,,
29/03/2021,Johor,171,99,1567,2502,,,124.2,480,-46.8,3758861,0.990686047,1552.405036,0.080004894,0.024888322,0.000665627,,,,,,,,,,,,29/03/2021,1,171,132,39,Johor,,
30/03/2021,Johor,96,39,1622,2383,,,106.6,430,10.6,3758765,0.990660745,1606.851729,0.066340906,0.098027127,0.000633985,,,,,,,,,,,,30/03/2021,1,96,50,46,Johor,,
31/03/2021,Johor,86,159,1549,1470,,,106.4,825,20.4,3758679,0.990638079,1534.498385,0.06933862,0.09360878,0.000391095,,,,,,,,,,,,31/03/2021,1,86,42,44,Johor,,
01/04/2021,Johor,165,145,1569,2211,,,100.2,515,-64.8,3758514,0.990594592,1554.242914,0.064468687,0.078393881,0.000588264,,,,,,,,,,,,01/04/2021,1,165,114,51,Johor,,
02/04/2021,Johor,103,123,1549,728,,,86.8,415,-16.2,3758411,0.990567445,1534.388972,0.05656975,0.091672046,0.000193699,,,,,,,,,,,,02/04/2021,1,103,52,51,Johor,,
03/04/2021,Johor,83,142,1489,1551,,,86.6,475,3.6,3758328,0.99054557,1474.922353,0.058714955,0.102081934,0.000412684,,,,,,,,,,,,03/04/2021,1,83,29,54,Johor,,
04/04/2021,Johor,95,152,1431,1166,,,90.2,275,-4.8,3758233,0.990520531,1417.43488,0.06363608,0.057302586,0.000310252,,,,,,,,,,,,04/04/2021,1,95,58,37,Johor,,
05/04/2021,Johor,55,82,1404,1508,,,91.8,490,36.8,3758178,0.990506036,1390.670474,0.066011325,0.158831909,0.000401258,,,,,,,,,,,,05/04/2021,1,55,30,25,Johor,,
06/04/2021,Johor,98,223,1279,1512,,,96.8,510,-1.2,3758080,0.990480207,1266.824184,0.07641155,0.11336982,0.000402333,,,,,,,,,,,,06/04/2021,1,98,58,40,Johor,,
07/04/2021,Johor,102,145,1236,1018,,,90.6,505,-11.4,3757978,0.990453323,1224.200308,0.074007497,0.049352751,0.00027089,,,,,,,,,,,,07/04/2021,1,102,58,44,Johor,,
08/04/2021,Johor,101,61,1275,1153,,,82.4,515,-18.6,3757877,0.990426704,1262.794047,0.065252129,0.08,0.000306822,,,,,,,,,,,,08/04/2021,1,101,75,26,Johor,,
09/04/2021,Johor,103,102,1276,4,,,77,400,-26,3757774,0.990399557,1263.749835,0.06092978,0.05799373,1.06446E-06,,,,,,,,,,,,09/04/2021,1,103,53,50,Johor,,
10/04/2021,Johor,80,74,1282,402,,,73.2,335,-6.8,3757694,0.990378472,1269.665202,0.057652994,0.141965679,0.000106981,,,,,,,,,,,,10/04/2021,1,80,39,41,Johor,,
11/04/2021,Johor,67,182,1167,128,,,93.6,305,26.6,3757627,0.990360814,1155.75107,0.080986298,0.160239931,3.40641E-05,,,,,,,,,,,,11/04/2021,1,67,26,41,Johor,,
12/04/2021,Johor,61,187,1041,532,,,104.4,370,43.4,3757566,0.990344737,1030.948871,0.101265934,0.053794428,0.000141581,,,,,,,,,,,,12/04/2021,1,61,26,35,Johor,,
13/04/2021,Johor,74,56,1059,43,,,112.2,420,38.2,3757492,0.990325233,1048.754422,0.106984054,0.10292729,1.14438E-05,,,,,,,,,,,,13/04/2021,1,74,24,50,Johor,,
14/04/2021,Johor,84,109,1033,1229,,,174.8,910,90.8,3757408,0.990303094,1022.983096,0.170872814,0.139399806,0.000327087,,,,,,,,,,,,14/04/2021,1,84,48,36,Johor,,
15/04/2021,Johor,182,144,1071,1178,,,181,605,-1,3757226,0.990255126,1060.56324,0.170664033,0.0821662,0.000313529,,,,,,,,,,,,15/04/2021,1,182,118,64,Johor,,
16/04/2021,Johor,121,88,1104,50,,,165,500,44,3757105,0.990223235,1093.206452,0.15093215,0.070652174,1.33081E-05,,,,,,,,,,,,16/04/2021,1,121,70,51,Johor,,
17/04/2021,Johor,100,78,1126,8,,,174.8,1935,74.8,3757005,0.990196879,1114.961686,0.156776688,0.095026643,2.12936E-06,,,,,,,,,,,,17/04/2021,1,100,60,40,Johor,,
18/04/2021,Johor,387,107,1406,1276,,,188.6,575,-198.4,3756618,0.990094882,1392.073404,0.135481361,0.039118065,0.000339667,,,,,,,,,,,,18/04/2021,1,387,311,76,Johor,,
19/04/2021,Johor,115,55,1466,1321,,,137.2,510,22.2,3756503,0.990064572,1451.434663,0.094527162,0.111186903,0.000351657,,,,,,,,,,,,19/04/2021,1,115,50,65,Johor,,
20/04/2021,Johor,102,163,1405,796,,,139.4,850,37.4,3756401,0.990037689,1391.002953,0.100215459,0.046975089,0.000211905,,,,,,,,,,,,20/04/2021,1,102,44,58,Johor,,
21/04/2021,Johor,170,66,1509,1052,,,150.8,845,-19.2,3756231,0.989992884,1493.899262,0.100943888,0.08813784,0.000280068,,,,,,,,,,,,21/04/2021,1,170,88,82,Johor,,
22/04/2021,Johor,169,133,1545,1721,,,178.6,650,9.6,3756062,0.989948342,1529.470189,0.116772462,0.069902913,0.000458193,,,,,,,,,,,,22/04/2021,1,169,100,69,Johor,,
23/04/2021,Johor,130,108,1566,330,,,188.8,630,58.8,3755932,0.989914079,1550.205448,0.121790309,0.022349936,8.7861E-05,,,,,,,,,,,,23/04/2021,1,130,64,66,Johor,,
24/04/2021,Johor,126,35,1656,118,,,201.6,795,75.6,3755806,0.989880871,1639.242722,0.122983618,0.086956522,3.1418E-05,,,,,,,,,,,,24/04/2021,1,126,75,51,Johor,,
25/04/2021,Johor,159,144,1670,2370,,,217.8,1545,58.8,3755647,0.989838965,1653.031071,0.131757959,0.014371257,0.00063105,,,,,,,,,,,,25/04/2021,1,159,61,98,Johor,,
26/04/2021,Johor,309,24,1953,2194,,,218,1100,-91,3755338,0.989757525,1932.996446,0.112778273,0.04813108,0.000584235,,,,,,,,,,,,26/04/2021,1,309,234,75,Johor,,
27/04/2021,Johor,220,94,2077,1752,,,218.2,970,-1.8,3755118,0.989699541,2055.605947,0.106148749,0.07125662,0.000466563,,,,,,,,,,,,27/04/2021,1,220,119,101,Johor,,
28/04/2021,Johor,194,148,2123,2090,,,216.8,1035,22.8,3754924,0.989648411,2101.023576,0.1031878,0.085727744,0.000556602,,,,,,,,,,,,28/04/2021,1,194,99,95,Johor,,
29/04/2021,Johor,207,182,2146,1540,,,219,800,12,3754717,0.989593854,2123.66841,0.103123444,0.052656104,0.000410151,,,,,,,,,,,,29/04/2021,1,207,85,122,Johor,,
30/04/2021,Johor,160,113,2192,305,,,244.8,1550,84.8,3754557,0.989551684,2169.097292,0.112858008,0.046532847,8.12346E-05,,,,,,,,,,,,30/04/2021,1,160,85,75,Johor,,
01/05/2021,Johor,310,102,2398,0,,,271.2,1065,-38.8,3754247,0.98946998,2372.749013,0.114297803,0.171392827,0,,,,,,,,,,,,01/05/2021,1,310,187,123,Johor,,
02/05/2021,Johor,213,411,2198,2332,,,260.8,1025,47.8,3754034,0.989413842,2174.731625,0.119922843,0.03366697,0.000621198,,,,,,,,,,,,02/05/2021,1,213,96,117,Johor,,
03/05/2021,Johor,205,74,2328,4528,,,283.6,1680,78.6,3753829,0.989359812,2303.229643,0.123131448,0.030498282,0.001206235,,,,,,,,,,,,03/05/2021,1,205,67,138,Johor,,
04/05/2021,Johor,336,71,2592,649,,,300.2,1460,-35.8,3753493,0.989271256,2564.191096,0.117073958,0.104166667,0.000172906,,,,,,,,,,,,04/05/2021,1,336,173,163,Johor,,
05/05/2021,Johor,292,270,2609,3108,,,306,1290,14,3753201,0.989194297,2580.80792,0.118567522,0.057876581,0.000828093,,,,,,,,,,,,05/05/2021,1,292,135,157,Johor,,
06/05/2021,Johor,258,151,2711,3193,,,299,1635,41,3752943,0.989126298,2681.521394,0.111503865,0.081888602,0.000850799,,,,,,,,,,,,06/05/2021,1,258,79,179,Johor,,
07/05/2021,Johor,327,222,2813,1,,,324.2,1440,-2.8,3752616,0.989040114,2782.16984,0.116527753,0.025950942,2.66481E-07,,,,,,,,,,,,07/05/2021,1,327,148,179,Johor,,
08/05/2021,Johor,288,73,3025,2061,,,328.4,1825,40.4,3752328,0.988964209,2991.616731,0.10977342,0.092892562,0.000549259,,,,,,,,,,,,08/05/2021,1,288,146,142,Johor,,
09/05/2021,Johor,365,281,3106,2459,,,364.2,1285,-0.8,3751963,0.988868009,3071.424036,0.118576919,0.117836446,0.00065539,,,,,,,,,,,,09/05/2021,1,365,172,193,Johor,,
10/05/2021,Johor,257,366,2993,3550,,,358.2,1920,101.2,3751706,0.988800274,2959.47922,0.121034808,0.077180087,0.000946236,,,,,,,,,,,,10/05/2021,1,257,124,133,Johor,,
11/05/2021,Johor,384,231,3140,192,,,393.4,1740,9.4,3751322,0.988699067,3104.51507,0.126718663,0.056369427,5.1182E-05,,,,,,,,,,,,11/05/2021,1,384,138,246,Johor,,
12/05/2021,Johor,348,177,3307,16,,,361.4,2335,13.4,3750974,0.988607348,3269.3245,0.110542713,0.084064106,4.26556E-06,,,,,,,,,,,,12/05/2021,1,348,172,176,Johor,,
13/05/2021,Johor,467,278,3491,0,,,370,1675,-97,3750507,0.988484265,3450.798571,0.107221558,0.057003724,0,,,,,,,,,,,,13/05/2021,1,467,258,209,Johor,,
14/05/2021,Johor,335,199,3626,0,,,358,2165,23,3750172,0.988395973,3583.923797,0.099890517,0.091009377,0,,,,,,,,,,,,14/05/2021,1,335,186,149,Johor,,
15/05/2021,Johor,433,330,3725,1,,,430.8,1120,-2.2,3749739,0.988281851,3681.349896,0.117022291,0.074630872,2.66685E-07,,,,,,,,,,,,15/05/2021,1,433,231,202,Johor,,
16/05/2021,Johor,224,278,3670,3,,,467.2,1955,243.2,3749515,0.988222814,3626.777727,0.128819585,0.055858311,8.00103E-07,,,,,,,,,,,,16/05/2021,1,224,96,128,Johor,,
